region,hid,pid,age,sclfsato,nhood_mistrust,urban,female,hhtenure,hiqual3,worry_crime,cons,denom
1,92,96,77,,3.25,1,1,1,3,0,1,1
1,93,97,65,6,2.25,1,1,2,3,0,1,1
1,94,98,22,6,2.5,1,0,2,1,1,1,1
1,95,99,30,7,2,1,0,3,1,1,1,1
1,96,100,24,,3,1,0,3,1,0,1,1
1,97,101,71,7,2.25,1,1,1,3,0,1,1
1,98,102,64,2,2.75,1,1,1,3,0,1,1
1,99,103,20,3,2,1,1,2,2,1,1,1
1,100,104,84,7,2,1,1,2,3,0,1,1
1,101,105,82,,2,1,0,1,2,0,1,1
1,102,106,40,6,3.5,1,0,2,2,0,1,1
1,103,107,22,3,3,1,0,2,3,0,1,1
1,104,108,55,5,4,1,1,2,2,1,1,1
1,105,109,51,2,2.25,1,1,2,2,0,1,1
1,106,110,63,3,2,1,0,2,3,0,1,1
1,107,111,34,2,1,1,1,1,1,1,1,1
1,108,112,74,6,2,1,0,1,2,0,1,1
1,109,113,18,6,2.25,0,1,1,2,0,1,1
1,110,114,70,2,2.75,1,1,3,1,1,1,1
1,110,115,72,2,2.75,1,0,3,3,0,1,1
1,111,116,55,6,2.25,0,1,1,2,0,1,1
1,112,117,53,6,2,1,1,1,2,1,1,1
1,113,118,68,6,2.25,1,1,3,2,1,1,1
1,114,119,46,3,4.333333,1,0,1,1,1,1,1
1,115,120,25,6,3,1,0,1,2,1,1,1
1,116,121,51,6,3,1,0,1,2,1,1,1
1,117,122,50,4,3.5,1,1,2,2,0,1,1
1,118,123,67,1,2,1,1,1,3,0,1,1
1,119,124,58,6,2.25,1,1,1,1,0,1,1
1,120,125,37,6,2.75,1,1,1,2,1,1,1
1,121,126,16,3,3.5,1,1,1,2,0,1,1
1,122,127,58,5,2.5,1,1,1,2,1,1,1
1,122,128,60,6,1.75,1,0,1,2,1,1,1
1,123,129,83,6,1,1,1,1,2,1,1,1
1,124,130,42,,2,1,0,3,3,1,1,1
1,125,131,57,6,1,0,1,1,2,0,1,1
1,126,132,18,6,2.75,1,1,2,2,1,1,1
1,127,133,27,2,2.25,1,1,2,2,1,1,1
1,128,134,38,6,2.5,1,1,1,1,1,1,1
1,129,135,65,6,3.75,0,0,1,2,0,1,1
1,130,136,91,,2.25,0,0,2,3,0,1,1
1,131,137,56,5,2.75,1,0,1,2,0,1,1
1,132,138,81,6,2.5,1,0,1,3,0,1,1
1,133,139,62,5,2.5,1,1,2,3,0,1,1
1,134,140,57,5,2,1,1,1,1,0,1,1
1,135,141,19,7,3.25,1,1,2,2,0,1,1
1,136,142,41,6,2.5,1,1,2,2,1,1,1
1,137,143,39,4,2.25,0,1,1,2,0,1,1
1,138,144,53,6,2.5,1,1,1,2,0,1,1
1,139,145,54,6,3.5,1,1,1,2,0,1,1
1,140,146,30,,2,1,1,3,1,0,1,1
1,141,147,82,7,1.25,1,1,1,1,0,1,1
1,142,148,77,6,2.5,1,0,1,1,1,1,1
2,143,149,57,,2,1,1,3,2,1,1,1
2,144,150,41,3,2.5,1,1,1,2,1,1,1
2,145,151,20,6,2.25,1,0,1,2,0,1,1
2,146,152,43,6,1.75,1,1,1,2,1,1,1
2,147,153,36,5,2.5,1,1,1,1,1,1,1
2,148,154,57,6,1.5,1,1,1,2,0,1,1
2,149,155,49,6,3.5,1,0,1,2,1,1,1
2,149,156,22,6,3,1,0,1,2,0,1,1
2,150,157,31,3,3,1,1,1,1,0,1,1
2,151,158,17,6,3,1,1,1,,0,1,1
2,152,159,47,5,2.5,1,1,1,2,0,1,1
2,153,160,42,4,2,1,1,1,2,1,1,1
2,154,161,49,6,3.5,1,1,1,1,1,1,1
2,155,162,41,6,1.75,1,1,1,1,0,1,1
2,156,163,37,4,2,1,1,1,1,1,1,1
2,157,164,23,4,1,1,0,1,1,0,1,1
2,158,165,31,3,2.5,1,0,3,2,0,1,1
2,159,166,28,1,3.25,1,1,1,1,1,1,1
2,160,167,30,6,2,1,0,1,1,0,1,1
2,160,168,26,6,2,1,0,1,1,1,1,1
2,161,169,63,6,2,0,1,1,2,0,1,1
2,162,170,29,5,3,1,0,3,1,0,1,1
2,163,171,44,6,1.25,0,1,1,2,1,1,1
2,164,172,42,1,2.75,1,1,2,2,1,1,1
2,165,173,30,6,2.5,1,1,1,2,1,1,1
2,166,174,64,6,2.5,0,1,1,2,0,1,1
2,167,175,74,6,2.25,0,1,1,1,1,1,1
2,168,176,21,7,1.75,0,1,2,2,0,1,1
2,169,177,39,,3.5,1,0,1,2,1,1,1
2,170,178,65,,2.25,1,0,3,3,0,1,1
2,171,179,54,4,2.5,1,0,1,2,0,1,1
2,172,180,70,6,2,1,1,1,2,0,1,1
2,173,181,61,6,2.5,1,0,1,2,1,1,1
2,174,182,45,6,2,1,1,1,1,0,1,1
2,175,183,48,6,3,1,0,1,1,1,1,1
2,176,184,60,6,1.75,1,1,1,1,0,1,1
2,177,185,24,,2.5,1,0,1,1,1,1,1
2,178,186,69,7,2.5,1,1,3,3,0,1,1
2,179,187,25,5,2,1,1,1,1,0,1,1
2,180,188,52,3,3.75,1,1,1,1,1,1,1
2,181,189,39,5,2.5,0,1,1,2,0,1,1
2,182,190,49,6,3.5,1,0,1,1,1,1,1
2,183,191,49,3,2,1,0,2,2,0,1,1
2,184,192,47,6,2.75,1,0,1,2,1,1,1
2,185,193,36,6,1.25,0,1,1,1,0,1,1
2,186,194,30,6,2.25,1,0,1,1,1,1,1
2,187,195,18,5,2,1,1,3,2,0,1,1
2,188,196,48,5,1.5,1,1,1,1,1,1,1
2,189,197,50,5,2,1,0,,1,0,1,1
2,190,198,72,5,2.5,1,1,1,3,1,1,1
2,191,199,51,4,3.5,1,1,1,2,0,1,1
2,192,200,41,4,1.75,1,1,1,2,1,1,1
2,193,201,87,5,2,1,1,1,2,1,1,1
2,194,202,70,6,2,1,0,1,3,1,1,1
2,195,203,67,,2.5,1,0,2,2,0,1,1
2,196,204,30,,3.25,1,1,1,2,1,1,1
2,197,205,40,4,2.25,1,0,1,1,0,1,1
2,198,206,59,6,2.25,1,1,1,1,0,1,1
2,199,207,32,6,2.75,1,1,2,1,1,1,1
2,200,208,71,6,2.75,1,0,1,1,0,1,1
2,201,209,39,6,2.666667,1,1,3,1,1,1,1
2,202,210,65,6,2,1,0,1,2,0,1,1
2,203,211,21,5,3.75,1,0,1,2,0,1,1
2,204,212,85,,2.75,1,0,1,2,1,1,1
2,205,213,73,3,3.25,1,0,1,2,0,1,1
2,206,214,41,,2.5,1,0,1,,1,1,1
2,207,215,59,6,2,1,0,1,1,0,1,1
2,208,216,44,4,3.25,1,0,2,2,0,1,1
2,209,217,45,4,2,1,1,1,1,0,1,1
2,210,218,50,3,2,1,0,2,2,1,1,1
2,211,219,40,6,2.75,0,0,2,2,1,1,1
2,212,220,49,5,2.75,1,0,1,1,1,1,1
2,213,221,56,3,2.25,1,0,1,2,1,1,1
2,214,222,32,6,2.5,1,1,1,1,0,1,1
2,215,223,44,6,2.75,1,1,1,1,0,1,1
2,216,224,39,6,2.25,1,0,1,2,1,1,1
2,217,225,18,6,3.75,1,1,1,2,1,1,1
2,218,226,96,1,1.25,1,1,1,3,0,1,1
2,219,227,76,7,2.75,1,0,1,2,0,1,1
2,220,228,34,2,2.5,1,1,1,2,1,1,1
2,221,229,38,7,2.25,1,1,1,2,1,1,1
2,222,230,60,5,2.75,1,0,1,1,1,1,1
2,223,231,30,4,3,1,1,3,3,1,1,1
2,224,232,18,6,3.5,1,1,2,2,0,1,1
2,225,233,43,4,2.25,1,1,1,2,1,1,1
2,226,234,18,6,2.25,1,1,1,2,1,1,1
2,227,235,73,6,1.25,0,0,1,1,0,1,1
2,228,236,35,6,2,1,0,1,2,0,1,1
2,229,237,58,5,1,0,1,1,1,1,1,1
2,230,238,30,6,2.25,1,1,1,1,0,1,1
2,231,239,86,6,1.75,1,0,2,2,1,1,1
2,232,240,62,6,2,1,0,1,3,1,1,1
2,233,241,33,7,2.25,1,1,3,1,1,1,1
2,234,242,76,,2.5,1,0,3,2,1,1,1
2,235,243,59,2,2.75,1,0,1,3,0,1,1
2,236,244,36,6,2.75,1,1,1,2,0,1,1
2,237,245,32,6,1.5,1,0,1,1,0,1,1
2,238,246,54,2,2,1,0,1,2,1,1,1
2,239,247,50,4,3.5,1,0,1,2,1,1,1
2,240,248,71,6,2,1,0,1,2,0,1,1
2,241,249,47,6,2.5,1,1,1,2,1,1,1
2,242,250,47,1,2.25,1,0,2,2,1,1,1
2,243,251,49,2,1.5,0,1,3,1,0,1,1
2,243,252,16,3,2,0,1,3,2,1,1,1
2,244,253,83,6,1.75,0,1,2,3,1,1,1
2,245,254,52,3,2.25,1,0,1,1,1,1,1
2,246,255,33,2,3.5,1,1,1,2,0,1,1
2,247,256,24,6,3,1,1,2,1,1,1,1
2,248,257,38,5,2.25,1,0,1,1,1,1,1
2,249,258,25,6,2.5,1,0,1,1,1,1,1
2,250,259,59,6,1.25,1,1,1,1,0,1,1
2,251,260,48,5,3.5,0,0,1,1,0,1,1
2,252,261,68,7,2.25,1,1,1,2,0,1,1
2,253,262,69,5,2,1,0,1,2,1,1,1
2,254,263,55,7,2,1,1,1,2,0,1,1
2,255,264,31,6,2.25,1,1,1,1,1,1,1
2,256,265,29,6,2.25,1,0,1,1,0,1,1
2,257,266,44,6,2,0,1,1,1,0,1,1
2,258,267,38,7,2.75,1,0,1,2,0,1,1
2,259,268,40,6,4,1,1,1,2,0,1,1
2,259,269,40,6,4,1,0,1,2,1,1,1
2,260,270,90,,2.25,1,0,1,2,0,1,1
2,261,271,63,6,2.75,1,0,2,3,1,1,1
2,262,272,48,3,3,1,1,1,2,1,1,1
2,263,273,71,6,4.25,1,0,2,3,1,1,1
2,264,274,26,5,1.5,1,1,1,1,0,1,1
2,265,275,31,4,3.5,1,1,1,2,1,1,1
2,266,276,53,1,3,1,1,1,1,1,1,1
2,267,277,68,5,2.75,1,0,1,1,1,1,1
2,268,278,31,6,3.75,1,0,1,2,0,1,1
2,269,279,63,7,1.75,0,1,3,2,0,1,1
2,270,280,41,,2,1,0,1,1,0,1,1
2,271,281,74,2,2.5,1,1,1,3,1,1,1
2,272,282,38,7,1.75,1,0,1,1,1,1,1
2,273,283,30,6,1.25,1,0,1,2,0,1,1
2,274,284,46,5,1.75,1,0,1,1,1,1,1
2,275,285,59,5,2.75,1,1,1,2,0,1,1
2,276,286,35,5,2.75,1,1,2,1,1,1,1
2,277,287,70,6,1.75,0,1,1,1,0,1,1
2,278,288,53,5,2,0,0,1,2,0,1,1
2,279,289,42,3,2.25,1,1,1,1,0,1,1
2,280,290,60,3,3.75,1,1,3,2,1,1,1
2,281,291,68,5,1.25,1,0,1,2,1,1,1
2,282,292,47,7,2.5,1,1,2,2,0,1,1
2,283,293,41,5,2,1,0,1,1,1,1,1
2,284,294,50,6,2.75,0,1,1,1,1,1,1
2,285,295,62,7,2,1,0,2,1,0,1,1
2,286,296,69,6,2,1,0,1,2,1,1,1
2,287,297,63,6,3,1,1,1,3,0,1,1
2,288,298,63,3,3,1,1,2,3,1,1,1
2,289,299,33,6,2.25,1,0,1,2,0,1,1
2,289,300,30,6,3.25,1,1,1,1,1,1,1
2,290,301,80,6,2.25,1,0,1,2,0,1,1
2,291,302,32,7,1,1,0,1,1,1,1,1
2,292,303,54,5,2,1,1,1,1,0,1,1
2,293,304,46,3,2.5,1,0,2,2,0,1,1
2,294,305,75,,2,1,0,2,3,0,1,1
2,295,306,64,6,2.25,1,0,1,2,0,1,1
2,296,307,50,6,1.75,1,1,1,3,1,1,1
2,297,308,66,7,2.25,0,1,1,1,0,1,1
2,298,309,47,6,2,1,1,1,1,0,1,1
2,298,310,21,4,1.5,1,0,1,1,0,1,1
2,299,311,32,6,2.5,1,0,1,1,1,1,1
2,300,312,31,6,3,1,1,1,1,0,1,1
2,301,313,50,,2,1,1,3,3,0,1,1
2,301,314,55,3,2.25,1,0,3,2,1,1,1
2,302,315,34,1,3.75,1,1,3,2,1,1,1
2,303,316,36,5,2.5,1,0,1,1,1,1,1
2,304,317,67,4,1.25,1,0,2,2,0,1,1
2,305,318,40,4,2.75,1,0,1,2,1,1,1
2,306,319,53,6,2.5,1,1,1,1,1,1,1
2,307,320,34,5,3.25,1,0,1,1,1,1,1
2,308,321,44,5,2.5,1,0,1,2,1,1,1
2,309,322,35,6,2.5,1,0,1,2,0,1,1
2,310,323,18,4,4,1,1,3,2,0,1,1
2,311,324,45,6,2,1,0,1,1,1,1,1
2,312,325,19,6,2,1,0,1,2,0,1,1
2,313,326,26,5,2.25,1,1,1,1,0,1,1
2,314,327,36,3,2,0,1,1,1,1,1,1
2,315,328,47,1,2.25,1,0,2,2,0,1,1
2,316,329,42,4,2.25,1,0,1,2,1,1,1
2,317,330,25,6,2.5,1,1,1,1,0,1,1
2,318,331,48,3,2,1,0,1,2,1,1,1
2,319,332,43,5,2.5,1,0,1,2,1,1,1
2,320,333,54,5,1.75,1,0,1,2,0,1,1
2,321,334,58,5,2,1,0,2,2,1,1,1
2,322,335,56,6,2,1,1,1,2,0,1,1
2,323,336,56,6,1,0,1,1,1,1,1,1
2,324,337,52,6,2.25,1,1,1,1,0,1,1
2,324,338,55,6,2,1,0,1,2,0,1,1
2,325,339,19,6,2.5,1,1,1,2,0,1,1
2,326,340,47,6,2,1,0,1,2,0,1,1
2,327,341,62,6,3.25,1,1,1,2,1,1,1
2,328,342,75,6,1.75,0,1,1,1,0,1,1
2,329,343,43,4,2.75,1,0,1,1,0,1,1
2,330,344,33,,3.75,1,1,1,1,1,1,1
2,331,345,75,,1.25,1,0,3,3,0,1,1
2,332,346,82,5,2,1,0,1,3,1,1,1
2,333,347,79,5,1.5,1,1,2,3,0,1,1
2,334,348,59,5,2,1,1,1,2,0,1,1
2,335,349,48,2,1.75,1,0,2,1,0,1,1
2,336,350,38,6,2.75,0,1,1,1,1,1,1
2,337,351,48,6,2.25,1,0,1,1,0,1,1
2,338,352,34,6,2,1,0,1,2,0,1,1
2,339,353,27,5,3.75,1,1,2,2,1,1,1
2,339,354,36,6,2.75,1,0,2,3,1,1,1
2,340,355,28,6,1,1,0,2,2,0,1,1
2,341,356,26,,3,1,0,3,,0,1,1
2,342,357,45,,2,1,1,1,2,1,1,1
2,343,358,79,,2.5,1,1,1,3,0,1,1
2,344,359,31,2,3.25,1,0,2,2,0,1,1
2,345,360,71,6,2,0,0,1,1,0,1,1
2,346,361,66,6,2,0,1,1,2,0,1,1
2,347,362,56,3,2,0,1,1,2,0,1,1
2,348,363,45,6,1.5,0,1,1,1,0,1,1
2,348,364,19,6,1.75,0,1,1,2,0,1,1
2,349,365,46,6,2.5,1,0,1,1,1,1,1
2,350,366,65,,1.25,1,0,2,3,0,1,1
2,351,367,70,6,2.5,0,1,1,2,0,1,1
2,352,368,32,6,4,1,1,2,2,1,1,1
2,353,369,47,4,2.75,1,1,1,1,0,1,1
2,354,370,43,6,2.75,1,1,1,2,1,1,1
2,355,371,43,6,2.25,1,1,1,2,0,1,1
2,356,372,28,7,2,1,1,3,1,0,1,1
2,357,373,24,4,3,1,1,3,2,1,1,1
2,358,374,75,6,3.5,1,0,1,3,0,1,1
2,359,375,43,6,1.5,1,1,1,1,0,1,1
2,360,376,37,6,1.5,1,1,,1,0,1,1
2,361,377,33,7,2,1,0,3,1,0,1,1
2,362,378,48,6,1.5,1,0,1,3,0,1,1
2,363,379,21,1,2.25,1,0,3,2,1,1,1
2,364,380,23,5,1.75,0,0,1,2,0,1,1
2,365,381,60,3,2,0,1,1,1,1,1,1
2,366,382,40,6,2,1,1,1,2,0,1,1
2,367,383,44,6,3.75,1,1,2,2,1,1,1
2,368,384,77,6,2,1,1,1,3,1,1,1
2,369,385,47,6,2.25,1,1,1,2,0,1,1
2,370,386,30,5,2,1,0,3,1,1,1,1
2,371,387,89,5,3,1,1,2,3,1,1,1
2,372,388,57,6,2.25,1,1,1,2,1,1,1
2,372,389,25,5,2,1,0,1,1,1,1,1
2,373,390,36,3,3.5,1,0,2,2,1,1,1
2,374,391,61,6,2,0,1,1,2,0,1,1
2,375,392,39,5,2.5,1,1,1,2,1,1,1
2,376,393,22,4,3,1,0,1,3,0,1,1
2,377,394,71,7,3.25,1,1,1,1,1,1,1
2,378,395,41,6,2.5,1,0,1,1,1,1,1
2,379,396,67,,2.25,1,0,1,2,0,1,1
2,380,397,53,6,2.25,1,1,1,1,1,1,1
2,381,398,88,,2,1,0,1,2,1,1,1
2,382,399,61,6,2.5,1,0,1,1,0,1,1
2,383,400,78,7,2,1,0,1,3,0,1,1
2,384,401,26,6,2,1,0,1,2,0,1,1
2,385,402,26,6,2.5,1,1,3,1,1,1,1
2,386,403,43,7,1,1,1,3,3,0,1,1
2,387,404,75,7,1.25,1,0,1,2,0,1,1
2,388,405,46,6,2.75,1,1,1,1,1,1,1
2,389,406,70,6,1.75,1,0,1,1,1,1,1
2,390,407,31,7,2.5,1,0,2,2,0,1,1
2,391,408,46,5,3,1,0,2,3,1,1,1
2,392,409,67,6,2,1,0,1,1,0,1,1
2,393,410,27,5,3,1,1,3,2,0,1,1
2,394,411,72,5,2,1,0,2,2,1,1,1
2,395,412,56,5,2,1,0,1,2,0,1,1
2,396,413,46,7,2,1,1,1,1,0,1,1
2,397,414,55,,2.25,1,1,1,1,1,1,1
2,398,415,60,3,2,1,1,1,2,0,1,1
2,399,416,42,6,2,1,1,1,1,0,1,1
2,400,417,36,2,2,1,1,1,2,1,1,1
2,401,418,62,6,2.5,1,1,1,1,1,1,1
2,402,419,49,3,2,1,1,1,2,0,1,1
2,403,420,20,,2.25,1,0,1,2,1,1,1
2,404,421,34,6,2,1,0,1,2,0,1,1
2,405,422,45,2,2.75,1,1,1,1,1,1,1
2,406,423,32,4,1.25,1,1,1,1,1,1,1
2,407,424,34,7,2.75,1,1,3,1,1,1,1
2,408,425,60,6,1.5,1,0,2,2,1,1,1
2,409,426,56,4,3.25,1,0,1,2,1,1,1
2,410,427,59,3,3.5,1,1,1,3,1,1,1
2,411,428,48,5,3,1,0,3,3,1,1,1
2,412,429,28,4,3.5,1,1,3,1,0,1,1
2,413,430,60,6,3,1,0,1,3,1,1,1
2,414,431,24,2,3.75,1,1,2,2,1,1,1
2,415,432,68,6,2,1,1,1,3,1,1,1
2,416,433,60,7,2,1,0,1,2,0,1,1
2,417,434,74,6,2,0,0,1,2,0,1,1
2,418,435,73,7,1,1,0,1,2,0,1,1
2,419,436,57,6,1.5,1,1,1,2,0,1,1
2,420,437,61,,2.25,1,0,1,1,1,1,1
2,421,438,24,4,2.25,1,0,3,1,0,1,1
2,422,439,26,4,2,1,1,3,2,0,1,1
2,423,440,34,6,2,1,0,1,1,0,1,1
2,424,441,38,3,2.25,1,0,3,1,0,1,1
2,425,442,65,6,1.75,0,0,1,2,0,1,1
2,426,443,38,5,3.75,1,0,3,2,0,1,1
2,427,444,28,,2.25,1,0,2,2,0,1,1
2,428,445,39,5,2,1,0,2,2,0,1,1
2,429,446,29,,4,1,1,2,2,1,1,1
2,430,447,26,6,1.75,1,1,3,1,0,1,1
2,431,448,51,5,2,1,1,1,3,0,1,1
2,432,449,26,6,2.5,1,1,2,2,0,1,1
2,433,450,42,4,3.5,1,0,2,2,1,1,1
2,434,451,23,6,2.5,1,0,3,2,0,1,1
2,435,452,18,4,3,1,0,2,2,1,1,1
2,436,453,58,6,3,0,0,1,2,1,1,1
2,437,454,59,6,2.25,0,0,1,2,1,1,1
2,438,455,41,6,2.25,1,0,1,2,0,1,1
2,438,456,38,7,2.5,1,1,1,2,1,1,1
2,438,457,17,7,2.25,1,0,1,,0,1,1
2,439,458,25,6,2,1,1,3,1,0,1,1
2,440,459,84,5,2.25,1,1,3,2,0,1,1
2,441,460,62,6,2.75,1,0,1,2,0,1,1
2,441,461,65,5,3.25,1,1,1,1,0,1,1
2,442,462,22,6,3.5,1,1,3,1,0,1,1
2,443,463,64,7,1.5,1,1,1,3,1,1,1
2,444,464,60,,3,1,0,2,2,0,1,1
2,445,465,41,,2.75,1,0,2,3,1,1,1
2,445,466,18,7,2.25,1,1,2,2,1,1,1
2,446,467,21,6,2,1,1,3,2,1,1,1
2,447,468,29,5,2.75,1,0,1,2,0,1,1
2,448,469,54,7,2,1,0,1,3,0,1,1
2,449,470,52,6,3.5,1,1,1,2,1,1,1
2,450,471,49,6,1.75,1,0,1,2,0,1,1
2,451,472,18,4,2.5,1,1,1,2,1,1,1
2,452,473,70,1,2.5,1,1,2,2,0,1,1
2,453,474,81,6,1.75,0,0,1,3,0,1,1
2,454,475,64,5,1.5,0,0,1,2,1,1,1
2,455,476,35,6,2.5,0,1,1,1,1,1,1
2,456,477,59,,3,1,1,2,2,0,1,1
2,457,478,64,7,3,1,0,1,2,0,1,1
2,458,479,31,6,2.5,1,1,1,1,0,1,1
2,458,480,32,6,2.5,1,0,1,1,0,1,1
2,459,481,51,6,3,1,0,1,2,0,1,1
2,460,482,18,6,2.5,1,1,1,2,1,1,1
2,461,483,34,6,1.25,1,1,1,1,1,1,1
2,461,484,34,6,2,1,0,1,1,1,1,1
2,462,485,31,1,3.25,1,0,3,1,1,1,1
2,463,486,53,1,2.5,1,0,1,3,1,1,1
2,464,487,50,1,1.25,1,0,1,2,1,1,1
2,465,488,54,2,2.75,1,1,3,2,0,1,1
2,466,489,32,3,3,1,0,1,2,1,1,1
2,467,490,23,6,3,1,1,3,2,1,1,1
2,468,491,67,6,2.5,1,0,1,3,0,1,1
2,469,492,77,1,2.333333,1,0,1,2,1,1,1
2,470,493,17,7,2.75,1,1,1,2,0,1,1
2,471,494,48,4,2,1,1,1,2,0,1,1
2,472,495,71,4,2,1,0,1,1,0,1,1
2,473,496,29,5,2,1,1,3,2,1,1,1
2,474,497,75,5,3.25,1,0,3,2,1,1,1
2,475,498,16,6,2.5,0,0,1,2,0,1,1
2,476,499,46,6,2,1,0,1,1,1,1,1
2,476,500,41,6,2,1,1,1,2,1,1,1
2,477,501,56,5,1.5,1,1,1,3,1,1,1
2,477,502,18,6,2,1,1,1,2,0,1,1
2,478,503,52,5,2.25,1,0,1,2,0,1,1
2,479,504,54,6,2,1,0,1,1,1,1,1
2,480,505,69,6,1.75,1,1,2,3,0,1,1
2,481,506,45,5,3.25,1,0,1,1,1,1,1
2,482,507,19,4,2.5,1,1,1,2,0,1,1
2,483,508,57,6,2.5,1,0,1,2,0,1,1
2,483,509,48,3,2.5,1,1,1,2,1,1,1
2,484,510,19,,4,1,0,2,3,1,1,1
2,485,511,18,7,3,1,0,1,2,0,1,1
